GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes),province_norm,zone,est_generation_MWh,emis_intensity_t_per_MWh
G100000100144,L100000102773,Indonesia,https://www.gem.wiki/Amamapare_Port_power_station,Amamapare Port power station,Unit 3,,,PT Puncakjaya Power [100%],E100000121062 [100%],PT Puncakjaya Power [100.0%],E100000121062 [100.0%],65.0,operating,1999.0,,2027.0,subcritical,unknown,Pinang coal deposit,,,,Amamapare,Mimika Timur Jauh,Mimika,Papua,South-eastern Asia,Asia,-4.827752,136.839082,exact,,,,other metals & mining,power,,,,26,0.55,12182.8,96100,0.3868524978287972,2,0.7737049956575943,Papua,Maluku-Papua-NTT,313170.0,1.2352795536890417
G100000100152,L100000102757,Indonesia,https://www.gem.wiki/Ambon-2_power_station,Ambon-2 power station,Unit 1,,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],50.0,cancelled,,,,subcritical,unknown,,,,,,,,Maluku,South-eastern Asia,Asia,-3.586516,128.171111,approximate,,,,,,,,,0,0.55,10442.4,96100,0.25506758098602,35,8.9273653345107,Maluku,Maluku-Papua-NTT,240900.00000000003,1.058811046019178
G100000100153,L100000102757,Indonesia,https://www.gem.wiki/Ambon-2_power_station,Ambon-2 power station,Unit 2,,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],50.0,cancelled,,,,subcritical,unknown,,,,,,,,Maluku,South-eastern Asia,Asia,-3.586516,128.171111,approximate,,,,,,,,,0,0.55,10442.4,96100,0.25506758098602,35,8.9273653345107,Maluku,Maluku-Papua-NTT,240900.00000000003,1.058811046019178
G100000100180,L100000102759,Indonesia,https://www.gem.wiki/Amurang_power_station,Amurang power station,Unit 1,Sulut 2,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],30.0,operating,2012.0,,,subcritical,unknown,,,,bioenergy,Amurang,,South Minahasa,North Sulawesi,South-eastern Asia,Asia,1.182502,124.480564,exact,,,,,,,,,13,0.55,11312.6,96100,0.165793927640913,22,3.647466408100086,Sulawesi Utara,Sulawesi,144540.0,1.1470452998541096
G100000100181,L100000102759,Indonesia,https://www.gem.wiki/Amurang_power_station,Amurang power station,Unit 2,Sulut 2,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],30.0,operating,2012.0,,,subcritical,unknown,,,,bioenergy,Amurang,,South Minahasa,North Sulawesi,South-eastern Asia,Asia,1.182502,124.480564,exact,,,,,,,,,13,0.55,11312.6,96100,0.165793927640913,22,3.647466408100086,Sulawesi Utara,Sulawesi,144540.0,1.1470452998541096
G100000113971,L100000104535,Indonesia,https://www.gem.wiki/Amurang-2_power_station,Amurang-2 power station,Unit 1,,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],30.0,operating,2018.0,,,subcritical,unknown,,,,,Amurang,,South Minahasa,North Sulawesi,South-eastern Asia,Asia,1.182502,124.480564,exact,,,,,,,,,7,0.55,10442.4,96100,0.153040548591612,28,4.285135360565136,Sulawesi Utara,Sulawesi,144540.0,1.058811046019178
G100000113972,L100000104535,Indonesia,https://www.gem.wiki/Amurang-2_power_station,Amurang-2 power station,Unit 2,,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],30.0,operating,2018.0,,,subcritical,unknown,,,,,Amurang,,South Minahasa,North Sulawesi,South-eastern Asia,Asia,1.182502,124.480564,exact,,,,,,,,,7,0.55,10442.4,96100,0.153040548591612,28,4.285135360565136,Sulawesi Utara,Sulawesi,144540.0,1.058811046019178
G100000100367,L100000102695,Indonesia,https://www.gem.wiki/Asahimas_Chemical_power_station,Asahimas Chemical power station,Unit 1,日本旭硝子玻璃公司自备电厂,,PT Asahimas Chemical [100%],E100000120082 [100%],AGC Inc [52.5%]; PT Rodamas [18.0%]; Mitsubishi Corp [11.5%]; natural person(s),E100000133539 [52.5%]; E100000121184 [18.0%]; E100000000650 [11.5%]; E100000123261,150.0,operating,2019.0,,,unknown,unknown,,,,bioenergy,,,Cilegon,Banten,South-eastern Asia,Asia,-6.024754,105.942635,exact,,,,chemicals,power,,,,6,0.55,10326.0,96100,0.75667313297565,29,21.94352085629385,Banten,Jawa-Madura-Bali,722700.0,1.047008624568493
G100000112731,L100000102695,Indonesia,https://www.gem.wiki/Asahimas_Chemical_power_station,Asahimas Chemical power station,Unit 2,日本旭硝子玻璃公司自备电厂,,PT Asahimas Chemical [100%],E100000120082 [100%],AGC Inc [52.5%]; PT Rodamas [18.0%]; Mitsubishi Corp [11.5%]; natural person(s),E100000133539 [52.5%]; E100000121184 [18.0%]; E100000000650 [11.5%]; E100000123261,150.0,operating,2019.0,,,unknown,unknown,,,,bioenergy,,,Cilegon,Banten,South-eastern Asia,Asia,-6.024754,105.942635,exact,,,,chemicals,power,,,,6,0.55,10326.0,96100,0.75667313297565,29,21.94352085629385,Banten,Jawa-Madura-Bali,722700.0,1.047008624568493
G100000105482,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit 1,Kalselteng-2,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],65.0,operating,2013.0,,,unknown,lignite,,,,bioenergy,Asam-Asam,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,-3.9265336,115.105805,exact,,,,,,,,,12,0.55,11186.5,101000,0.3733279485131625,23,8.586542815802737,Kalimantan Selatan,Kalimantan,313170.0,1.1920935865924658
